"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.081416647E-3,-6.064849019E-2,1.640126449E-1,-1.053223872E-1
1.901541662E-2,4.937381588E-2,1.289346135E-1,3.658234459E-1
2.894841658E-2,3.799747311E-2,1.229792243E-1,4.682584780E-1
3.888141667E-2,-4.134039938E-2,1.125647485E-1,1.794691747E-1
4.881441663E-2,-1.076034591E-1,2.226754206E-1,-2.455362797E-1
5.874741659E-2,-1.518617653E-1,2.126661569E-1,-6.968097657E-1
6.868141668E-2,-1.065872131E-1,1.344766045E-1,-9.430249071E-1
7.861441665E-2,-1.155069944E-1,1.384439403E-1,-9.442422974E-1
8.854741661E-2,-1.973400199E-1,1.296427113E-1,-8.513048977E-1
9.848041658E-2,-2.928643010E-1,1.370715988E-1,-9.166188812E-1
1.084134167E-1,-4.083806509E-1,2.068546093E-1,-1.101668054E0
1.183474166E-1,-5.794277886E-1,3.401576775E-1,-1.311069710E0
1.282804166E-1,-6.910489427E-1,5.367358053E-1,-1.279677179E0
1.382134167E-1,-5.751471882E-1,6.601909930E-1,-7.445405871E-1
1.481464166E-1,-5.556880930E-1,8.389415449E-1,-2.365198731E-3
1.580794166E-1,-5.541355842E-1,1.008860462E0,5.340408236E-1
1.680134166E-1,-5.602135456E-1,9.332050931E-1,6.069064862E-1
1.779464167E-1,-5.557871302E-1,6.245259011E-1,3.122272825E-1
1.878794166E-1,-7.588293549E-1,4.283664340E-1,6.346041620E-2
1.978124166E-1,-1.273486732E0,6.401543391E-1,-1.978803027E-1
2.077454167E-1,-1.666695466E0,1.120646946E0,2.266790092E-2
2.176794166E-1,-1.674946472E0,1.444828861E0,6.700581694E-1
2.276124166E-1,-1.590481688E0,1.568312116E0,1.349359617E0
2.375454167E-1,-1.474826101E0,1.671916006E0,1.998538549E0
2.474784167E-1,-1.266540239E0,1.597396751E0,2.474117156E0
2.574114166E-1,-9.744432393E-1,1.120352831E0,2.710661588E0
2.673454166E-1,-8.386574433E-1,6.316004473E-1,2.423930504E0
2.772784167E-1,-1.210827238E0,3.358172894E-1,1.635976095E0
2.872114166E-1,-1.774615332E0,2.043935162E-1,8.124571663E-1
2.971444166E-1,-2.238812627E0,1.736927104E-1,2.043870842E-1
3.070774167E-1,-2.376671553E0,2.837700534E-1,-8.200719953E-2
3.170114167E-1,-2.153627027E0,4.250534016E-1,-4.401842415E-2
3.269444166E-1,-1.773819965E0,5.391395956E-1,2.538562828E-1
3.368774166E-1,-1.102886760E0,4.732005447E-1,8.983837545E-1
3.468104167E-1,-5.635191227E-1,2.362713665E-1,1.419978780E0
3.567434166E-1,-4.660379248E-1,-7.896313906E-2,1.574491453E0
3.666774166E-1,-7.751792662E-1,-3.346080852E-1,1.387498666E0
3.766104167E-1,-1.105185739E0,-2.017967677E-1,9.785765630E-1
3.865434167E-1,-1.178871766E0,-5.575729430E-2,7.202530074E-1
3.964764166E-1,-1.099973165E0,-2.533528376E-1,7.243296862E-1
4.064094166E-1,-1.106565536E0,-3.730354017E-1,8.191311783E-1
