"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.986042976E-3,6.508861109E1,2.538331103E1,3.752922598E0,NaN,NaN,1.999999924E1,3.000000000E1
5.713295937E-2,6.508885031E1,2.538246140E1,3.752922598E0,NaN,NaN,1.172929559E3,3.011889949E1
4.246909618E-1,6.508830489E1,2.538303122E1,8.892181764E-1,NaN,NaN,3.222265846E1,3.000000000E1
2.128817916E0,6.508831963E1,2.538306207E1,1.536883545E1,7.200000286E-1,1.135546875E2,3.122053083E1,1.280000000E2
3.137975097E0,6.508849475E1,2.538306532E1,6.032287598E0,8.100000024E-1,NaN,1.277597436E1,1.200000000E1
4.141070962E0,6.508852090E1,2.538308408E1,7.732421875E0,8.100000024E-1,1.300781250E2,8.045760806E0,8.000000000E0
5.141487002E0,6.508846779E1,2.538305289E1,1.012878418E1,1.259999990E0,1.248046875E2,7.105081343E0,6.000000000E0
6.146181941E0,6.508848124E1,2.538305693E1,3.117797852E0,9.900000095E-1,1.297265625E2,6.361905058E0,4.000000000E0
6.552214026E0,6.508853590E1,2.538302888E1,2.964477539E0,1.139999986E0,1.237500000E2,3.170286666E0,3.000000000E0
7.531027555E0,6.508855185E1,2.538303849E1,2.172058105E0,1.129999995E0,1.184765625E2,3.535533906E0,3.000000000E0
8.532478333E0,6.508854775E1,2.538306238E1,2.310546875E0,1.139999986E0,1.226953125E2,3.535533906E0,3.000000000E0
9.533950090E0,6.508854213E1,2.538308602E1,2.300292969E0,1.220000029E0,1.219921875E2,3.535533906E0,3.000000000E0
1.053542960E1,6.508853807E1,2.538310848E1,1.804321289E0,1.070000052E0,1.202343750E2,3.535533906E0,3.000000000E0
1.153677571E1,6.508853429E1,2.538313128E1,1.881896973E0,1.179999948E0,1.188281250E2,3.535533906E0,3.000000000E0
1.253802264E1,6.508852910E1,2.538315358E1,2.093444824E0,1.149999976E0,1.191796875E2,3.535533906E0,3.000000000E0
1.353922617E1,6.508852419E1,2.538317478E1,1.470886230E0,1.149999976E0,1.226953125E2,3.535533906E0,3.000000000E0
1.454031384E1,6.508851862E1,2.538319537E1,1.658575228E0,1.149999976E0,1.226953312E2,4.748651530E0,4.029364438E0
1.554132414E1,6.508851521E1,2.538321832E1,1.436247038E0,1.120000005E0,1.198828312E2,4.748651530E0,4.029364438E0
1.654229486E1,6.508851393E1,2.538323910E1,1.040142223E0,1.120000005E0,1.146093946E2,4.748651530E0,4.029364438E0
1.754318082E1,6.508851527E1,2.538325806E1,1.283254769E0,1.000000000E0,1.016015814E2,4.748651530E0,4.029364438E0
1.854399824E1,6.508851721E1,2.538328054E1,1.477724222E0,1.000000000E0,9.070314429E1,4.748651530E0,4.029364438E0
1.954479110E1,6.508852140E1,2.538331062E1,1.475485038E0,1.250000000E0,8.261721141E1,4.748651530E0,4.029364438E0
2.054550683E1,6.508852554E1,2.538333539E1,1.791475486E0,1.250000000E0,7.875002365E1,4.748651530E0,4.029364438E0
2.154616153E1,6.508852949E1,2.538336079E1,1.831218909E0,1.250000000E0,7.628908592E1,4.748651530E0,4.029364438E0
2.254676306E1,6.508853302E1,2.538338877E1,1.881838045E0,1.299999952E0,7.593752432E1,4.748651530E0,4.029364438E0
2.354732502E1,6.508853548E1,2.538341867E1,2.159193248E0,1.340000033E0,7.804690029E1,4.748651530E0,4.029364438E0
2.454785228E1,6.508853821E1,2.538344842E1,2.233677118E0,1.340000033E0,7.804690029E1,4.748651530E0,4.029364438E0
2.554834199E1,6.508854089E1,2.538347770E1,2.831648073E0,1.299999952E0,7.664064940E1,4.748651530E0,4.029364438E0
2.654880750E1,6.508854372E1,2.538350697E1,3.389227105E0,1.269999981E0,7.488283615E1,4.748651530E0,4.029364438E0
2.754923987E1,6.508854581E1,2.538354042E1,3.390651917E0,1.370000005E0,7.664065071E1,4.748651530E0,4.029364438E0
2.854964542E1,6.508854764E1,2.538357130E1,3.614784455E0,1.370000005E0,7.769533832E1,4.748651530E0,4.029364438E0
2.955002534E1,6.508854821E1,2.538360168E1,3.853088588E0,1.350000024E0,7.980471313E1,4.748651530E0,4.029364438E0
3.055038023E1,6.508854964E1,2.538363323E1,4.154247494E0,1.350000024E0,7.839846301E1,4.748651530E0,4.029364438E0
3.155071247E1,6.508855099E1,2.538366447E1,4.389011597E0,1.360000014E0,7.945315079E1,4.748651530E0,4.029364438E0
3.255102444E1,6.508855182E1,2.538369200E1,4.033260560E0,1.360000014E0,8.085940090E1,4.748651530E0,4.029364438E0
3.355131888E1,6.508855055E1,2.538372031E1,4.150335521E0,1.350000024E0,8.824221353E1,4.748651530E0,4.029364438E0
3.455158842E1,6.508852582E1,2.538372854E1,6.173307461E0,1.279311256E0,1.246246862E2,3.994000939E0,3.000000000E0
3.555184269E1,6.508850671E1,2.538374228E1,5.973502580E0,1.345530442E0,1.425766728E2,2.873275352E0,3.000000000E0
3.655208242E1,6.508848476E1,2.538374553E1,5.938278801E0,1.467623944E0,1.528197139E2,3.560605762E0,3.000000000E0
3.755230427E1,6.508846971E1,2.538374024E1,5.761569813E0,1.401242796E0,1.631895933E2,3.713546265E0,3.000000000E0
3.855251503E1,6.508845807E1,2.538373846E1,5.802314810E0,1.390363550E0,1.660387045E2,3.588893435E0,3.000000000E0
3.955271232E1,6.508844344E1,2.538374272E1,5.777643790E0,1.384102421E0,1.659924922E2,3.577023504E0,3.000000000E0
4.055289423E1,6.508843205E1,2.538374031E1,6.090199223E0,1.380841665E0,1.679124322E2,3.584951317E0,3.000000000E0
4.155306304E1,6.508841758E1,2.538374193E1,6.032052958E0,1.395978370E0,1.661265787E2,3.765480285E0,3.000000000E0
4.255322361E1,6.508840789E1,2.538374910E1,5.899496253E0,1.336608009E0,1.657245794E2,3.800939796E0,3.000000000E0
4.355337405E1,6.508839564E1,2.538374921E1,6.068642802E0,1.411162710E0,1.670707056E2,3.661382115E0,3.000000000E0
4.455351293E1,6.508838022E1,2.538376283E1,6.068028426E0,1.530919457E0,1.659185976E2,3.649428041E0,3.000000000E0
4.555364323E1,6.508836621E1,2.538376586E1,6.099639337E0,1.365758090E0,1.644250286E2,3.764164233E0,3.000000000E0
4.655376542E1,6.508835567E1,2.538377056E1,5.904247495E0,1.358144897E0,1.649712007E2,3.805537696E0,3.000000000E0
4.755387974E1,6.508834196E1,2.538377672E1,5.575451613E0,1.412979071E0,1.631139996E2,3.791360645E0,3.000000000E0
4.855398619E1,6.508833056E1,2.538377904E1,5.418476113E0,1.410795417E0,1.656590863E2,3.786607419E0,3.000000000E0
4.955408525E1,6.508832071E1,2.538379296E1,5.530088428E0,1.482384221E0,1.660764613E2,3.777850905E0,3.000000000E0
5.055417752E1,6.508830375E1,2.538380670E1,5.503253495E0,1.473062205E0,1.660318203E2,3.773241818E0,3.000000000E0
5.155426335E1,6.508828969E1,2.538380451E1,5.435244273E0,1.448466466E0,1.714617575E2,3.715342590E0,3.000000000E0
5.255434418E1,6.508827578E1,2.538381662E1,5.396695963E0,1.397121390E0,1.691299983E2,3.682880737E0,3.000000000E0
5.355441880E1,6.508825920E1,2.538382491E1,5.411260397E0,1.431622034E0,1.667366999E2,3.681834055E0,3.000000000E0
5.455448854E1,6.508824621E1,2.538383084E1,5.364354988E0,1.426632336E0,1.686826568E2,3.666787995E0,3.000000000E0
5.555455339E1,6.508823036E1,2.538383389E1,5.424356627E0,1.467069488E0,1.703976992E2,3.606529738E0,3.000000000E0
5.655461442E1,6.508822619E1,2.538384128E1,4.651765618E0,1.433295133E0,1.738216393E2,3.611079557E0,3.762274528E0
5.755466926E1,6.508821039E1,2.538384999E1,4.922843146E0,1.459491168E0,1.700631421E2,3.586234351E0,3.886431429E0
5.855472183E1,6.508819941E1,2.538385846E1,4.882708744E0,1.377214680E0,1.655969202E2,3.532239015E0,3.922327188E0
5.955477214E1,6.508818617E1,2.538387121E1,4.603902111E0,1.448134000E0,1.628417242E2,3.600518593E0,3.664294221E0
6.055481696E1,6.508817423E1,2.538387902E1,4.494715006E0,1.391995219E0,1.653636018E2,3.604408369E0,4.033852288E0
6.155485845E1,6.508816237E1,2.538388599E1,4.472357837E0,1.316809709E0,1.664861050E2,3.665434083E0,3.733041327E0
6.255489659E1,6.508815212E1,2.538389601E1,4.384107791E0,1.240320331E0,1.632361188E2,3.633925792E0,3.797686782E0
6.355493307E1,6.508813788E1,2.538390308E1,4.356478232E0,1.402127163E0,1.662885387E2,3.616914947E0,3.731432044E0
